doc_index,register,pca1,pca2,explained_var_pc1,explained_var_pc2
332,informal,-0.20737948,0.07384638,0.078987226,0.055545554
333,informal,-0.20737948,0.07384638,0.078987226,0.055545554
334,informal,-0.20737948,0.07384638,0.078987226,0.055545554
335,informal,-0.20737948,0.07384638,0.078987226,0.055545554
336,informal,-0.20737948,0.07384638,0.078987226,0.055545554
337,informal,0.11649413,-0.44104433,0.078987226,0.055545554
338,informal,0.117616616,-0.353029,0.078987226,0.055545554
339,informal,0.09131511,-0.4426457,0.078987226,0.055545554
340,informal,0.07386349,-0.4498529,0.078987226,0.055545554
341,informal,0.09726264,-0.44638783,0.078987226,0.055545554
342,informal,0.1288928,-0.47521567,0.078987226,0.055545554
343,informal,0.06962971,-0.43788496,0.078987226,0.055545554
344,informal,0.076709345,-0.41800776,0.078987226,0.055545554
345,informal,0.24260895,0.225957,0.078987226,0.055545554
346,informal,0.23054567,0.21018259,0.078987226,0.055545554
347,informal,0.23054676,0.25738233,0.078987226,0.055545554
348,informal,0.17722581,0.19851424,0.078987226,0.055545554
349,informal,0.23176806,0.21545939,0.078987226,0.055545554
350,informal,0.40628994,0.08523413,0.078987226,0.055545554
351,informal,0.18622854,0.2776197,0.078987226,0.055545554
352,informal,0.19319233,0.23070163,0.078987226,0.055545554
353,informal,0.19243042,0.14641616,0.078987226,0.055545554
354,informal,0.19281699,0.1815236,0.078987226,0.055545554
355,informal,0.19471101,0.2479062,0.078987226,0.055545554
356,informal,0.20940071,0.2281459,0.078987226,0.055545554
357,informal,0.22424793,0.23576972,0.078987226,0.055545554
358,informal,0.3165629,0.06410133,0.078987226,0.055545554
359,informal,0.2599828,0.21361178,0.078987226,0.055545554
360,informal,0.2426877,0.23355874,0.078987226,0.055545554
361,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
362,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
363,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
364,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
365,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
366,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
367,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
368,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
369,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
370,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
371,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
372,informal,-0.03609886,-0.0682206,0.078987226,0.055545554
373,informal,0.1592983,-0.2744703,0.078987226,0.055545554
374,informal,0.11106514,-0.23512667,0.078987226,0.055545554
375,informal,0.1743611,-0.30610847,0.078987226,0.055545554
376,informal,0.15233782,-0.22745883,0.078987226,0.055545554
377,informal,0.15184903,-0.31238672,0.078987226,0.055545554
378,informal,0.111462265,-0.18775675,0.078987226,0.055545554
379,informal,0.09118427,-0.28476065,0.078987226,0.055545554
380,informal,0.22843489,-0.30592924,0.078987226,0.055545554
381,informal,0.20977055,-0.29600817,0.078987226,0.055545554
382,informal,0.14398354,-0.29672474,0.078987226,0.055545554
383,informal,0.056815434,-0.32256836,0.078987226,0.055545554
384,informal,-0.16554838,-0.026942806,0.078987226,0.055545554
