Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADP:0.1765 | ADV:0.1176 | NOUN:0.1176 | PART:0.1176 | PRON:0.1765 | PUNCT:0.1176 | VERB:0.1765,ADJ:0.0462 | ADP:0.1040 | ADV:0.0751 | AUX:0.0405 | CCONJ:0.0289 | DET:0.0173 | NOUN:0.2081 | PART:0.0231 | PRON:0.0983 | PROPN:0.0289 | PUNCT:0.1387 | SCONJ:0.0289 | SYM:0.0058 | VERB:0.1561,17,173
ADJ:0.0548 | ADP:0.1233 | ADV:0.1370 | AUX:0.0685 | CCONJ:0.0137 | DET:0.0274 | NOUN:0.1781 | NUM:0.0137 | PART:0.0411 | PRON:0.1233 | PROPN:0.0274 | PUNCT:0.0685 | SCONJ:0.0137 | VERB:0.1096,ADJ:0.0552 | ADP:0.0877 | ADV:0.1006 | AUX:0.0487 | CCONJ:0.0357 | DET:0.0227 | NOUN:0.1753 | NUM:0.0260 | PART:0.0227 | PRON:0.0779 | PROPN:0.0519 | PUNCT:0.1526 | SCONJ:0.0260 | VERB:0.1169,73,308
ADJ:0.0779 | ADP:0.0935 | ADV:0.1059 | AUX:0.0654 | CCONJ:0.0249 | DET:0.0405 | NOUN:0.1558 | NUM:0.0093 | PART:0.0249 | PRON:0.1402 | PROPN:0.0093 | PUNCT:0.0903 | SCONJ:0.0436 | VERB:0.1184,ADJ:0.0508 | ADP:0.0932 | ADV:0.0890 | AUX:0.0508 | CCONJ:0.0466 | DET:0.0169 | INTJ:0.0042 | NOUN:0.1864 | PART:0.0169 | PRON:0.1017 | PROPN:0.0169 | PUNCT:0.1568 | SCONJ:0.0169 | VERB:0.1525,321,236
ADP:0.1667 | ADV:0.0556 | AUX:0.0556 | DET:0.0556 | NOUN:0.2778 | PRON:0.0556 | PUNCT:0.1667 | VERB:0.1667,ADJ:0.0370 | ADP:0.0847 | ADV:0.0899 | AUX:0.0476 | CCONJ:0.0423 | DET:0.0265 | NOUN:0.2063 | NUM:0.0053 | PART:0.0265 | PRON:0.0688 | PROPN:0.0741 | PUNCT:0.1481 | SCONJ:0.0212 | VERB:0.1217,18,189
ADP:0.1429 | NOUN:0.1429 | PART:0.1429 | PRON:0.2857 | PUNCT:0.1429 | VERB:0.1429,ADJ:0.0366 | ADP:0.1220 | ADV:0.0732 | AUX:0.0244 | CCONJ:0.0488 | DET:0.0122 | NOUN:0.2195 | NUM:0.0244 | PRON:0.0610 | PROPN:0.0732 | PUNCT:0.1463 | SCONJ:0.0122 | SYM:0.0122 | VERB:0.1341,7,82
ADJ:0.0741 | ADP:0.1481 | ADV:0.0370 | AUX:0.0741 | DET:0.0741 | NOUN:0.4444 | PUNCT:0.1111 | VERB:0.0370,ADJ:0.0278 | ADP:0.0833 | ADV:0.1944 | AUX:0.0556 | CCONJ:0.0556 | NOUN:0.1944 | PART:0.0278 | PRON:0.0556 | PUNCT:0.1389 | VERB:0.1667,27,36
ADJ:0.0921 | ADP:0.1316 | ADV:0.0526 | AUX:0.0789 | CCONJ:0.0263 | DET:0.0658 | NOUN:0.1316 | NUM:0.0132 | PART:0.0263 | PRON:0.1579 | PROPN:0.0395 | PUNCT:0.0526 | SCONJ:0.0132 | VERB:0.1184,ADJ:0.0957 | ADP:0.0638 | ADV:0.0957 | AUX:0.0532 | CCONJ:0.0532 | DET:0.0319 | INTJ:0.0106 | NOUN:0.1702 | NUM:0.0106 | PART:0.0426 | PRON:0.0745 | PUNCT:0.1596 | SCONJ:0.0213 | VERB:0.1170,76,94
ADJ:0.0270 | ADP:0.1351 | ADV:0.0405 | AUX:0.0676 | CCONJ:0.0405 | DET:0.0270 | NOUN:0.2297 | PART:0.0270 | PRON:0.0811 | PUNCT:0.1216 | SCONJ:0.0676 | VERB:0.1351,ADJ:0.0588 | ADP:0.0588 | ADV:0.1294 | AUX:0.0588 | CCONJ:0.0471 | INTJ:0.0118 | NOUN:0.1882 | PART:0.0235 | PRON:0.1059 | PROPN:0.0118 | PUNCT:0.1294 | SCONJ:0.0118 | VERB:0.1647,74,85
ADJ:0.1818 | ADP:0.0455 | ADV:0.0909 | AUX:0.0455 | CCONJ:0.0455 | DET:0.1364 | NOUN:0.2273 | PUNCT:0.1818 | VERB:0.0455,ADJ:0.0824 | ADP:0.0824 | ADV:0.0706 | AUX:0.0706 | CCONJ:0.0235 | DET:0.0235 | INTJ:0.0118 | NOUN:0.2353 | PART:0.0353 | PRON:0.0706 | PUNCT:0.1412 | SCONJ:0.0471 | VERB:0.1059,22,85
ADJ:0.1220 | ADP:0.0732 | ADV:0.0732 | AUX:0.0244 | DET:0.0976 | NOUN:0.1463 | PART:0.0732 | PRON:0.0976 | PUNCT:0.1220 | SCONJ:0.0244 | SYM:0.0244 | VERB:0.1220,ADJ:0.0400 | ADP:0.0400 | ADV:0.1300 | AUX:0.0600 | CCONJ:0.0300 | DET:0.0200 | NOUN:0.1800 | PART:0.0300 | PRON:0.1100 | PUNCT:0.1700 | SCONJ:0.0200 | VERB:0.1700,41,100
