doc_index,register,char_count,word_count,rough_syllable_count_sv,textstat_flesch_reading_ease,textstat_flesch_kincaid_grade,textstat_gunning_fog,textstat_smog_index
71,formal,720,111,221,48.97783783783785,10.367258687258687,13.910424710424714,13.023866798666859
72,formal,783,110,228,43.6375757575758,11.727272727272727,15.696969696969697,14.314028922438442
73,formal,1395,189,424,31.282777777777795,14.085390070921985,16.015130023640662,14.554592549557764
74,formal,1830,272,547,41.24220588235295,12.333466386554623,14.389075630252101,13.371156678226303
75,formal,790,112,243,25.486547619047627,14.341785714285717,16.395238095238096,14.790194502661404
76,formal,1189,207,360,64.71715415019764,8.907545015371106,11.778480456741327,11.20814326018867
77,formal,1044,152,318,43.952631578947376,11.848947368421054,14.705263157894738,13.624085052395262
78,formal,641,82,196,46.4608943089431,10.174146341463416,14.734959349593495,13.295006501635747
79,formal,1995,292,585,54.837888127853915,8.633082191780822,11.852968036529681,11.45678717892309
80,formal,1965,281,582,42.25111209964416,12.352447890188106,15.573055414336554,14.244340213328723
81,formal,1440,201,448,32.6442786069652,14.254328358208955,18.286567164179104,16.18397175987059
82,formal,912,128,274,40.56218750000002,11.576562500000005,13.5875,12.815532586354998
83,formal,1555,224,467,48.96553571428572,10.404464285714287,13.542857142857144,12.785403640627713
84,formal,1014,131,309,21.01437500000003,14.396250000000002,18.458396946564886,15.742502247213078
85,formal,2194,310,668,41.815118845500876,11.480254668930392,14.784380305602717,13.613851032357722
86,formal,1215,182,371,50.12597902097906,10.378111888111889,12.991808191808193,12.40481918309499
87,formal,911,141,285,57.582500000000024,11.065780141843977,13.65531914893617,12.457975602129121
88,formal,1554,233,477,47.007976871721525,9.918419170243208,11.358035288507393,11.20814326018867
89,formal,1578,217,495,29.102035851472493,14.010644472897997,17.698506188647034,15.668782140382117
90,formal,2182,334,658,51.886876247505,9.973336184773313,12.469689193042488,12.374306866263186
91,formal,1476,212,441,38.64348385167466,14.35951555023924,17.148564593301437,15.078166124597352
92,formal,1399,204,411,51.45970588235295,9.70168067226891,13.67170868347339,12.785403640627713
93,formal,1165,156,354,24.35019230769234,14.707307692307694,17.030769230769234,15.247664890283005
94,formal,3429,474,1042,30.141284962614264,14.142593925966956,16.598947659927997,14.981290276393054
95,formal,863,114,258,32.45000000000002,13.453333333333333,17.07368421052632,15.247664890283005
96,formal,1300,174,414,25.955407523510985,13.568746081504703,16.90198537095089,14.811377253095038
97,formal,1732,226,528,38.73332595870207,12.53553097345133,15.49793510324484,14.191785591663535
98,formal,1383,208,436,45.25897435897437,11.25269230769231,14.433333333333332,13.427899808715576
99,formal,1682,250,500,50.53962500000003,10.091750000000001,13.290000000000001,12.602617957971052
100,formal,1489,214,445,47.02560747663554,10.497596795727642,13.777837116154874,12.905362322585251
101,formal,2392,308,751,30.731314935064972,13.755162337662341,17.44025974025974,15.497558498333571
102,formal,891,124,273,50.77123655913982,11.311935483870972,14.395698924731185,13.295006501635747
103,formal,888,118,277,37.94925612052734,11.223333333333336,14.396986817325804,13.023866798666859
104,formal,839,133,254,53.97105263157897,10.451578947368422,14.517293233082706,13.484332010920856
105,formal,1434,205,455,23.84310975609759,15.026463414634147,18.346341463414635,16.15616582465906
106,formal,1282,149,396,19.104788590604016,14.296167785234903,18.577449664429533,15.514038796780547
107,formal,1835,244,538,53.231518804243024,9.400270009643204,12.134619093539056,11.78182255692154
108,formal,2277,301,672,26.491235294117672,13.94835294117647,18.258823529411767,15.827824993895579
109,formal,2760,445,818,59.68936563670414,9.540126404494384,11.82116104868914,11.29186615186298
110,formal,649,99,207,31.313750000000027,15.040277777777778,17.576767676767677,15.579741850924794
