doc_index,register,n_tokens,n_sents,pos_counts_json,n_unique_lemmas,top_deprel_json
57,formal,50,5,"{""ADJ"": 8, ""ADP"": 4, ""ADV"": 3, ""AUX"": 1, ""CCONJ"": 2, ""DET"": 4, ""NOUN"": 13, ""PRON"": 2, ""PROPN"": 1, ""PUNCT"": 4, ""SCONJ"": 1, ""VERB"": 7}",37,"{""amod"": 7, ""ROOT"": 5, ""det"": 4, ""punct"": 4, ""nsubj"": 4, ""case"": 3, ""nsubj:pass"": 3, ""nmod"": 2, ""compound:prt"": 2, ""obj"": 2, ""nmod:poss"": 2, ""cc"": 2}"
58,formal,211,12,"{""ADJ"": 22, ""ADP"": 25, ""ADV"": 13, ""AUX"": 12, ""CCONJ"": 2, ""DET"": 15, ""NOUN"": 53, ""NUM"": 2, ""PART"": 9, ""PRON"": 7, ""PROPN"": 2, ""PUNCT"": 14, ""SCONJ"": 4, ""VERB"": 31}",99,"{""case"": 20, ""mark"": 18, ""amod"": 16, ""punct"": 16, ""det"": 15, ""ROOT"": 12, ""nmod"": 11, ""obj"": 11, ""nsubj:pass"": 11, ""advcl"": 9, ""aux"": 9, ""obl"": 8}"
59,formal,120,6,"{""ADJ"": 10, ""ADP"": 12, ""ADV"": 8, ""AUX"": 6, ""CCONJ"": 6, ""DET"": 8, ""NOUN"": 30, ""PART"": 5, ""PRON"": 9, ""PUNCT"": 6, ""SCONJ"": 3, ""VERB"": 17}",68,"{""nsubj"": 11, ""case"": 11, ""amod"": 8, ""advmod"": 8, ""det"": 8, ""mark"": 7, ""obj"": 7, ""cc"": 6, ""ROOT"": 6, ""obl"": 6, ""punct"": 6, ""conj"": 5}"
60,formal,168,10,"{""ADJ"": 15, ""ADP"": 20, ""ADV"": 10, ""AUX"": 7, ""CCONJ"": 5, ""DET"": 9, ""NOUN"": 48, ""PART"": 5, ""PRON"": 4, ""PUNCT"": 14, ""SCONJ"": 5, ""VERB"": 26}",89,"{""mark"": 16, ""punct"": 14, ""case"": 13, ""nsubj"": 11, ""conj"": 11, ""ROOT"": 10, ""amod"": 10, ""advmod"": 10, ""obj"": 10, ""det"": 9, ""nsubj:pass"": 9, ""advcl"": 8}"
61,formal,36,2,"{""ADJ"": 2, ""ADP"": 6, ""ADV"": 1, ""CCONJ"": 2, ""DET"": 2, ""NOUN"": 13, ""PART"": 1, ""PRON"": 3, ""PUNCT"": 1, ""VERB"": 5}",32,"{""obj"": 5, ""case"": 5, ""obl"": 3, ""amod"": 3, ""nsubj"": 2, ""ROOT"": 2, ""advmod"": 2, ""punct"": 2, ""det"": 2, ""nmod"": 2, ""mark"": 1, ""dislocated"": 1}"
62,formal,129,8,"{""ADJ"": 17, ""ADP"": 14, ""ADV"": 4, ""AUX"": 5, ""CCONJ"": 2, ""DET"": 10, ""NOUN"": 32, ""NUM"": 4, ""PART"": 2, ""PRON"": 7, ""PROPN"": 2, ""PUNCT"": 13, ""SCONJ"": 3, ""VERB"": 14}",72,"{""nsubj"": 14, ""amod"": 13, ""punct"": 13, ""case"": 11, ""det"": 9, ""ROOT"": 8, ""obj"": 8, ""mark"": 6, ""nmod"": 5, ""fixed"": 5, ""obl"": 5, ""advmod"": 4}"
63,formal,218,10,"{""ADJ"": 21, ""ADP"": 29, ""ADV"": 11, ""AUX"": 7, ""CCONJ"": 8, ""DET"": 19, ""NOUN"": 52, ""NUM"": 5, ""PART"": 5, ""PRON"": 15, ""PROPN"": 5, ""PUNCT"": 15, ""SCONJ"": 5, ""VERB"": 21}",117,"{""case"": 25, ""det"": 19, ""nsubj"": 19, ""obl"": 19, ""amod"": 17, ""punct"": 15, ""advmod"": 14, ""ROOT"": 10, ""mark"": 10, ""nmod:poss"": 9, ""cc"": 8, ""obj"": 7}"
64,formal,119,6,"{""ADJ"": 11, ""ADP"": 16, ""ADV"": 1, ""AUX"": 5, ""CCONJ"": 4, ""DET"": 9, ""NOUN"": 38, ""NUM"": 4, ""PART"": 3, ""PRON"": 6, ""PUNCT"": 6, ""SCONJ"": 3, ""VERB"": 13}",62,"{""case"": 15, ""nsubj"": 12, ""amod"": 11, ""nmod"": 10, ""det"": 9, ""obj"": 7, ""ROOT"": 6, ""punct"": 6, ""conj"": 5, ""acl:relcl"": 5, ""obl"": 5, ""cc"": 4}"
65,formal,202,10,"{""ADJ"": 20, ""ADP"": 31, ""ADV"": 14, ""AUX"": 6, ""CCONJ"": 9, ""DET"": 11, ""NOUN"": 54, ""NUM"": 5, ""PART"": 4, ""PRON"": 14, ""PUNCT"": 9, ""SCONJ"": 2, ""VERB"": 23}",106,"{""case"": 27, ""advmod"": 14, ""obl"": 14, ""amod"": 14, ""nmod"": 13, ""det"": 11, ""ROOT"": 10, ""nsubj"": 10, ""cc"": 9, ""conj"": 9, ""punct"": 9, ""fixed"": 9}"
66,formal,216,8,"{""ADJ"": 23, ""ADP"": 36, ""ADV"": 11, ""AUX"": 9, ""CCONJ"": 10, ""DET"": 11, ""NOUN"": 53, ""NUM"": 2, ""PART"": 4, ""PRON"": 16, ""PROPN"": 2, ""PUNCT"": 13, ""SCONJ"": 6, ""VERB"": 20}",123,"{""case"": 28, ""amod"": 18, ""obl"": 18, ""nsubj"": 17, ""mark"": 13, ""punct"": 13, ""det"": 12, ""conj"": 12, ""nmod"": 10, ""cc"": 10, ""advmod"": 9, ""ROOT"": 8}"
