condition,feature,human_mean_pre,human_mean_post,human_mean_pct_change,llm_mean_pre,llm_mean_post,dz_pre,dz_post,dz_change,p_pre,p_post,n_pre,n_post
detector_aware,punct_exclaim,0.6552699460827627,0.6639375379621643,1.3227513227513166,0.03309626928318452,0.033534050622909185,-0.15221160154495136,-0.15323760502371647,-0.0010260034787651084,7.865525560731692e-19,7.865525560731692e-19,1149,1134
detector_aware,punct_question,1.7136387373384958,1.7254069364706122,0.686737459634806,0.2683828271235269,0.2647003907319092,-0.2756568854786192,-0.2770106266231804,-0.0013537411445611602,1.460344110084628e-26,1.2211001407646636e-26,1149,1134
detector_aware,punct_comma,2.7343079278282176,2.7500413721331767,0.5754086489247635,4.205381325392007,4.209582986575406,0.36139213254278246,0.3576403108278392,-0.0037518217149432598,9.65854390141731e-58,1.4639409546502613e-56,1149,1134
detector_aware,punct_semicolon,0.08990212816895816,0.021590965168891234,-75.98392206209611,0.001094936673338295,0.0011094199626681667,-0.1144593204138024,-0.07959592871591394,0.03486339169788846,6.317741248626378e-06,0.0015918239652689542,1149,1134
detector_aware,punct_colon,1.0342890521796884,1.0429047936414242,0.8330109889086404,0.6851211348412352,0.6911475382847194,-0.056190444512529046,-0.056247837457264374,-5.739294473532802e-05,5.713029396040239e-36,2.343200903088208e-36,1149,1134
detector_aware,punct_dash,0.005487029951493873,0.00555960971275702,1.3227513227513295,0.30494651548499346,0.30861429323890777,0.5048596233313366,0.508380272702055,0.0035206493707183872,3.6892359946179866e-74,5.3736311942660924e-74,1149,1134
detector_aware,punct_ellipsis,0.41206469454703326,0.4175685151742323,1.3356690587746665,0.0010386165587263933,0.0010523548729952609,-0.16325276004545394,-0.1643727495949519,-0.0011199895494979628,2.306104088585876e-20,2.306104088585876e-20,1149,1134
detector_evasive,bigram_repetition_rate,0.011042856646361383,0.01114060367285683,0.8851606937019736,0.017012946684861825,0.017133479467830753,0.2240979533854716,0.2239236977926985,-0.00017425559277309266,1.545112628457669e-26,3.215230706609016e-26,1149,1134
detector_evasive,trigram_repetition_rate,0.0025803094024209926,0.0026025238005892475,0.8609199403533573,0.002070139093435127,0.0020820772023541195,-0.04647985542061243,-0.047168047927994596,-0.0006881925073821682,0.13460987061891866,0.1337514944563325,1149,1134
detector_evasive,function_word_rate,0.48423069385216283,0.48532706535398357,0.22641511902082403,0.4470477002861606,0.44703983487744553,-0.25940987476950356,-0.2670517318247375,-0.007641857055233958,3.82363045897969e-37,4.045276162633115e-38,1149,1134
