Abstract_POS_Proportions,Generated_Abstract_POS_Proportions,Abstract_Word_Length,Generated_Abstract_Word_Length
ADP:0.1667 | ADV:0.0556 | AUX:0.0556 | DET:0.0556 | NOUN:0.2778 | PRON:0.0556 | PUNCT:0.1667 | VERB:0.1667,ADJ:0.0646 | ADP:0.0674 | ADV:0.0899 | AUX:0.0365 | CCONJ:0.0421 | DET:0.0281 | NOUN:0.1910 | NUM:0.0253 | PART:0.0281 | PRON:0.0702 | PROPN:0.0084 | PUNCT:0.1798 | SCONJ:0.0225 | SYM:0.0309 | VERB:0.1152,18,356
ADP:0.1429 | NOUN:0.1429 | PART:0.1429 | PRON:0.2857 | PUNCT:0.1429 | VERB:0.1429,ADJ:0.0886 | ADP:0.0886 | ADV:0.0759 | AUX:0.0633 | CCONJ:0.0380 | DET:0.0633 | NOUN:0.1772 | NUM:0.0127 | PART:0.0253 | PRON:0.1013 | PUNCT:0.1139 | SCONJ:0.0380 | VERB:0.1139,7,79
ADJ:0.0741 | ADP:0.1481 | ADV:0.0370 | AUX:0.0741 | DET:0.0741 | NOUN:0.4444 | PUNCT:0.1111 | VERB:0.0370,ADJ:0.0755 | ADP:0.0566 | ADV:0.1132 | AUX:0.0189 | CCONJ:0.0377 | DET:0.0189 | NOUN:0.1887 | PRON:0.0189 | PUNCT:0.3585 | SCONJ:0.0189 | SYM:0.0189 | VERB:0.0755,27,53
ADJ:0.0921 | ADP:0.1316 | ADV:0.0526 | AUX:0.0789 | CCONJ:0.0263 | DET:0.0658 | NOUN:0.1316 | NUM:0.0132 | PART:0.0263 | PRON:0.1579 | PROPN:0.0395 | PUNCT:0.0526 | SCONJ:0.0132 | VERB:0.1184,ADJ:0.1124 | ADP:0.0674 | ADV:0.1011 | AUX:0.0562 | CCONJ:0.0562 | DET:0.0112 | INTJ:0.0112 | NOUN:0.1685 | PART:0.0562 | PRON:0.1011 | PUNCT:0.1011 | SCONJ:0.0337 | VERB:0.1236,76,89
ADJ:0.0270 | ADP:0.1351 | ADV:0.0405 | AUX:0.0676 | CCONJ:0.0405 | DET:0.0270 | NOUN:0.2297 | PART:0.0270 | PRON:0.0811 | PUNCT:0.1216 | SCONJ:0.0676 | VERB:0.1351,ADJ:0.1043 | ADP:0.0609 | ADV:0.0957 | AUX:0.0870 | CCONJ:0.0435 | INTJ:0.0087 | NOUN:0.1652 | PART:0.0348 | PRON:0.0783 | PUNCT:0.1130 | SCONJ:0.0870 | VERB:0.1217,74,115
ADJ:0.1818 | ADP:0.0455 | ADV:0.0909 | AUX:0.0455 | CCONJ:0.0455 | DET:0.1364 | NOUN:0.2273 | PUNCT:0.1818 | VERB:0.0455,ADJ:0.1176 | ADP:0.0706 | ADV:0.0824 | AUX:0.1059 | CCONJ:0.0471 | INTJ:0.0118 | NOUN:0.1647 | NUM:0.0235 | PART:0.0235 | PRON:0.1176 | PUNCT:0.1176 | SCONJ:0.0118 | VERB:0.1059,22,85
ADJ:0.1220 | ADP:0.0732 | ADV:0.0732 | AUX:0.0244 | DET:0.0976 | NOUN:0.1463 | PART:0.0732 | PRON:0.0976 | PUNCT:0.1220 | SCONJ:0.0244 | SYM:0.0244 | VERB:0.1220,ADJ:0.1286 | ADP:0.0571 | ADV:0.1000 | AUX:0.1286 | CCONJ:0.0429 | INTJ:0.0143 | NOUN:0.2143 | NUM:0.0143 | PART:0.0429 | PRON:0.0429 | PUNCT:0.1286 | SCONJ:0.0429 | VERB:0.0429,41,70
ADJ:0.1818 | ADP:0.0909 | AUX:0.0909 | DET:0.0909 | NOUN:0.0909 | PRON:0.0909 | PROPN:0.0909 | PUNCT:0.1818 | VERB:0.0909,ADJ:0.0610 | ADP:0.0488 | ADV:0.1341 | AUX:0.1220 | CCONJ:0.0366 | DET:0.0244 | INTJ:0.0122 | NOUN:0.1341 | PART:0.0488 | PRON:0.0976 | PUNCT:0.1098 | SCONJ:0.0488 | VERB:0.1220,11,82
ADJ:0.0842 | ADP:0.0842 | ADV:0.0632 | AUX:0.0737 | CCONJ:0.0579 | DET:0.0684 | NOUN:0.1211 | NUM:0.0158 | PART:0.0526 | PRON:0.1211 | PROPN:0.0158 | PUNCT:0.0895 | SCONJ:0.0211 | VERB:0.1316,ADJ:0.0863 | ADP:0.0360 | ADV:0.1295 | AUX:0.0432 | CCONJ:0.0576 | DET:0.0360 | INTJ:0.0072 | NOUN:0.1511 | PART:0.0504 | PRON:0.0863 | PROPN:0.0072 | PUNCT:0.1367 | SCONJ:0.0288 | VERB:0.1439,190,139
ADJ:0.1000 | ADP:0.1000 | ADV:0.1000 | AUX:0.1000 | NOUN:0.5000 | PUNCT:0.1000,ADJ:0.1034 | ADP:0.0552 | ADV:0.1310 | AUX:0.0621 | CCONJ:0.0483 | DET:0.0345 | INTJ:0.0069 | NOUN:0.1379 | PART:0.0276 | PRON:0.1034 | PROPN:0.0069 | PUNCT:0.1172 | SCONJ:0.0552 | SYM:0.0069 | VERB:0.1034,10,145
